City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Bani,DO,78.85,clear sky,18.2833,-70.3333,Hospedaje Henriquez
272,Anzio,IT,81.73,clear sky,41.4853,12.6179,Hotel Lido Garda
277,Saint Peter,BB,81.16,scattered clouds,13.25,-59.6167,Legend Garden Condos
280,Bandarbeyla,SO,76.51,few clouds,9.4942,50.8122,JABIR HOTEL
281,Buala,SB,84.56,light rain,-8.145,159.5921,Maringe Lagoon Lodge
291,Hambantota,LK,78.64,overcast clouds,6.1241,81.1185,Bungalow 63
299,Sakassou,CI,75.04,broken clouds,7.4546,-5.2926,Parents de Damienne
300,Harper,LR,75.18,overcast clouds,4.375,-7.7169,Screensaver
302,Thaton,MM,75.07,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
304,Khandyga,RU,80.33,scattered clouds,62.6667,135.6,Apel'sin
308,Mana,GF,77.99,scattered clouds,5.6592,-53.7767,LE SAMANA
310,Qui Nhon,VN,78.12,overcast clouds,13.7667,109.2333,Seagull Hotel
315,Sabla,NG,80.76,scattered clouds,12.7525,4.7077,
316,Ocos,GT,83.41,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
317,Ambon,ID,78.24,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
318,Trincomalee,LK,78.73,broken clouds,8.5711,81.2335,Welcombe Hotel
320,Grand Forks,US,84.13,clear sky,47.9417,-97.4337,Warrior Inn
322,Nantong,CN,83.98,clear sky,32.0303,120.8747,Overseas Chinese Hotel Nantong
323,Labuhan,ID,76.82,overcast clouds,-6.8844,112.2051,DoubleFAG
327,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
333,Vinukonda,IN,82.29,overcast clouds,16.05,79.75,VLS Residency
334,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
335,Ormara,PK,83.03,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
338,Kutum,SD,75.97,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
342,Sao Miguel Do Araguaia,BR,75.9,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
344,Kavieng,PG,81.93,light rain,-2.5744,150.7967,Nusa Island Retreat
348,Ugoofaaru,MV,82.36,overcast clouds,5.6667,73.0,Ungoofaaru Inn
349,Gondanglegi,ID,75.4,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
350,Iralaya,HN,79.29,scattered clouds,15.0,-83.2333,Iglesia morava renovada
352,Goderich,CA,80.92,clear sky,43.7501,-81.7165,Harmony Inn
355,Matara,LK,76.84,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
356,Zaoyang,CN,82.78,overcast clouds,32.1272,112.7542,Shanghai Hotel
357,Monte Alegre,BR,79.11,broken clouds,-2.0078,-54.0692,Hotel Shekinah
358,Vaitape,PF,77.23,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
359,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
361,Meulaboh,ID,77.02,overcast clouds,4.1363,96.1285,Kost Pria
363,Santa Rosa,PH,83.1,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
364,Naifaru,MV,82.44,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
369,Roma,US,78.69,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
370,Dhidhdhoo,MV,81.59,overcast clouds,6.8833,73.1,Dhidhoo beach
372,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
375,Korla,CN,76.39,clear sky,41.7597,86.1469,Gulisitan Hotel
377,Pingzhuang,CN,76.53,clear sky,42.0372,119.2889,Haoke Guest House
383,Touros,BR,75.02,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
395,Ternate,ID,82.18,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
396,Acarau,BR,78.51,scattered clouds,-2.8856,-40.12,castelo pizzaria
400,Pishin,PK,80.08,scattered clouds,30.5803,66.9961,City Hotel Pishin
403,Nantucket,US,78.91,mist,41.2835,-70.0995,Jared Coffin House
412,Pailitas,CO,78.19,overcast clouds,8.9565,-73.6255,HOTEL JECENTER
425,Cairns,AU,78.12,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
426,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
431,Waingapu,ID,78.22,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
435,Almeirim,BR,77.5,broken clouds,-1.5233,-52.5817,Ricácio Hotel
436,Tateyama,JP,84.13,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
437,Bulungu,CD,75.31,broken clouds,-4.55,18.6,Maison MC Michel
439,Pantai Remis,MY,75.22,overcast clouds,4.4557,100.6288,Leisure Homestay
443,Aksu,CN,75.92,clear sky,41.1231,80.2644,Pudong Holiday Hotel
450,Isangel,VU,80.56,clear sky,-19.55,169.2667,Tanna Lodge
451,Madras,IN,78.78,mist,13.0878,80.2785,"Taj Connemara, Chennai"
457,Ino,JP,83.73,scattered clouds,33.55,133.4333,KAMENOI HOTEL KOCHI
459,Birnin Kebbi,NG,80.44,scattered clouds,12.4539,4.1975,Saffar Guest Inn Ltd
461,Lar,IN,81.73,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
462,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
467,Bose,IT,80.19,clear sky,45.4612,8.0137,Locanda Borgo Antico
470,Cadillac,US,81.79,broken clouds,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
474,Kampong Chhnang,KH,75.0,broken clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
478,Haimen,CN,84.09,clear sky,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
480,Wanning,CN,80.91,few clouds,18.8003,110.3967,Paradise Hotel
482,Superior,US,82.76,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
486,Zhanaozen,KZ,84.16,broken clouds,43.3,52.8,K.korabay 28A
487,Sola,VU,80.26,light rain,-13.8833,167.55,Leumerus Bungalows
488,Felipe Carrillo Puerto,MX,84.92,clear sky,19.5833,-88.05,Hotel La Ceiba
489,Broome,US,84.58,few clouds,42.2506,-75.833,Chenango Valley State Park
492,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
493,Tukrah,LY,76.66,clear sky,32.5341,20.5791,Lagrota restaurant
499,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
501,San Miguel,SV,81.81,broken clouds,13.4833,-88.1833,Excalibur
507,Shimoda,JP,84.56,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
509,Haifa,IL,77.22,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
