City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kruisfontein,ZA,-34.0033,24.7314,49.33,85,47,5.37,scattered clouds
80,San Patricio,US,28.017,-97.5169,93.54,57,30,18.68,scattered clouds
81,Dawlatabad,AF,36.4141,64.9053,86.41,12,0,7.81,clear sky
82,Kota Kinabalu,MY,5.9749,116.0724,78.78,83,20,5.01,few clouds
83,Thinadhoo,MV,0.5333,72.9333,81.84,71,99,16.33,overcast clouds
84,Maykor,RU,59.0059,55.88,54.39,96,45,4.59,scattered clouds
85,Bengkulu,ID,-3.8004,102.2655,74.66,90,82,4.88,broken clouds
86,Dikson,RU,73.5069,80.5464,45.25,92,99,14.12,overcast clouds
87,Yulara,AU,-25.2406,130.9889,56.52,33,0,3.53,clear sky
88,Menongue,AO,-14.6585,17.691,49.84,46,5,2.75,clear sky
89,Atar,MR,20.5169,-13.0499,91.99,35,4,7.07,clear sky
90,Mataura,NZ,-46.1927,168.8643,43.48,91,100,1.1,overcast clouds
91,Mazamari,PE,-11.3258,-74.5308,73.22,77,5,1.57,clear sky
92,Kailua,US,21.4022,-157.7394,87.78,69,100,11.5,light rain
93,Kitimat,CA,54.0524,-128.6534,75.58,53,17,5.01,few clouds
94,Tiznit,MA,29.5833,-9.5,88.2,21,22,3.09,few clouds
95,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,88,0,4.61,clear sky
96,Santiago Del Estero,AR,-27.7951,-64.2615,70.48,65,14,12.88,few clouds
97,Lasa,IT,46.6166,10.7002,74.28,87,41,2.77,scattered clouds
98,Saint Anthony,US,45.0205,-93.218,86.95,36,0,14.97,clear sky
99,Oranjemund,NA,-28.55,16.4333,54.41,83,1,5.79,clear sky
100,Pisco,PE,-13.7,-76.2167,60.85,82,100,16.11,overcast clouds
101,Sarangani,PH,5.4033,125.4636,82.54,74,100,8.1,overcast clouds
102,Butaritari,KI,3.0707,172.7902,81.57,73,48,5.48,scattered clouds
103,Panaba,MX,21.2833,-88.2667,86.4,62,68,14.38,broken clouds
104,Elko,US,41.0002,-115.5012,96.75,8,4,17.0,clear sky
105,Bredasdorp,ZA,-34.5322,20.0403,46.83,87,100,4.18,overcast clouds
106,Cidreira,BR,-30.1811,-50.2056,62.64,90,90,3.98,overcast clouds
107,Bluff,NZ,-46.6,168.3333,43.81,81,92,8.25,overcast clouds
108,Kaeo,NZ,-35.1,173.7833,62.33,67,73,6.98,broken clouds
109,Hofn,IS,64.2539,-15.2082,51.1,85,28,1.83,scattered clouds
110,Tazovskiy,RU,67.4667,78.7,43.48,84,100,4.23,overcast clouds
111,Mar Del Plata,AR,-38.0023,-57.5575,51.1,70,0,2.3,clear sky
112,Inhambane,MZ,-23.865,35.3833,66.81,84,0,3.24,clear sky
113,Urumqi,CN,43.801,87.6005,72.55,27,0,4.47,clear sky
114,Port Hardy,CA,50.6996,-127.4199,60.98,72,20,13.8,few clouds
115,Khuzhir,RU,53.1939,107.3397,51.94,89,100,8.95,light rain
116,Ampanihy,MG,-24.7,44.75,62.01,84,11,4.47,few clouds
117,Kapaa,US,22.0752,-159.319,85.98,69,20,16.11,few clouds
118,San Jose,US,37.3394,-121.895,92.84,40,20,11.5,few clouds
119,Tasiilaq,GL,65.6145,-37.6368,37.56,78,84,3.15,broken clouds
120,Husavik,IS,66.0449,-17.3389,49.71,83,89,2.62,overcast clouds
121,Ribeira Grande,PT,38.5167,-28.7,73.2,86,59,2.21,broken clouds
